Geneid SRR420912 SRR420913 SRR420914 SRR420915 SRR420916 SRR420917
BGIOSGA000143 0 0 0 0 0 0
BGIOSGA000144 87 61 127 80 86 87
BGIOSGA000145 18 6 16 30 4 10
BGIOSGA000146 11 6 12 16 13 6
BGIOSGA000147 785 140 412 522 41 174
BGIOSGA000148 0 0 0 6 0 0
BGIOSGA000149 0 0 0 0 0 0
BGIOSGA000150 253 130 238 203 82 63
BGIOSGA000151 12 10 4 6 0 3
BGIOSGA000152 275 209 599 220 391 143
BGIOSGA000153 255 490 420 274 521 489
BGIOSGA000154 68 42 79 178 6 563
BGIOSGA000155 148 32 4 77 0 69
BGIOSGA000156 36 22 2 32 4 4
BGIOSGA000157 2 5 0 25 0 15
BGIOSGA000158 6 6 6 18 0 6
BGIOSGA000159 33 1 10 40 0 3
BGIOSGA000160 96 31 41 62 41 19
BGIOSGA000161 496 330 575 405 380 229
BGIOSGA000162 2 1 23 12 0 4
BGIOSGA000163 0 0 0 0 0 0
BGIOSGA000164 741 458 698 1250 370 854
BGIOSGA000165 1104 948 1365 931 509 601
BGIOSGA000166 260 4 4 30 0 1
BGIOSGA000167 76 136 136 158 173 177
BGIOSGA000168 70 152 27 215 206 198
BGIOSGA000169 32 9 3 5 14 8
BGIOSGA000170 0 0 6 2 0 8
BGIOSGA000171 12 0 9 47 4 91
BGIOSGA000172 9 2 0 14 4 28
BGIOSGA000173 196 297 389 219 332 469
BGIOSGA000174 206 206 236 215 315 343
BGIOSGA000175 62 112 146 91 191 139
BGIOSGA000176 1104 3087 1083 629 4831 3230
BGIOSGA000177 228 275 219 355 150 237
BGIOSGA000178 12 14 4 9 7 36
BGIOSGA000179 88 63 97 247 34 205
BGIOSGA000180 17 8 35 48 2 36
BGIOSGA000181 186 404 466 482 738 1059
BGIOSGA000182 5 29 8 78 67 77
BGIOSGA000183 50 7 0 25 0 8
BGIOSGA000184 0 0 0 0 0 0
BGIOSGA000185 413 157 406 357 201 280
BGIOSGA000186 20 45 24 40 68 35
BGIOSGA000187 381 724 1033 733 842 1009
BGIOSGA000188 0 0 0 0 0 0
BGIOSGA000189 0 0 0 0 0 0
BGIOSGA000190 44 177 21 143 33 64
BGIOSGA000191 114 100 148 132 115 120
BGIOSGA000192 408 324 288 658 333 498
BGIOSGA000193 208 102 32 252 4 93
BGIOSGA000194 591 8 322 1043 8 830
BGIOSGA000195 15 2 12 28 0 12
BGIOSGA000196 15 56 3 274 38 211
BGIOSGA000197 0 0 0 0 0 0
BGIOSGA000198 70 64 55 139 92 59
BGIOSGA000199 383 20 70 106 2 33
BGIOSGA000200 479 730 790 833 970 763
BGIOSGA000201 0 0 1 0 0 0
BGIOSGA000202 0 0 0 0 0 0
BGIOSGA000203 0 24 0 0 74 0
BGIOSGA000204 0 0 0 0 0 0
BGIOSGA000205 763 359 255 667 318 451
BGIOSGA000206 2 2 3 20 4 4
BGIOSGA000207 291 148 305 246 149 209
BGIOSGA000208 31 31 65 43 21 25
BGIOSGA000209 55 84 41 57 46 39
BGIOSGA000210 0 0 0 0 2 0
BGIOSGA000211 1 1 0 0 0 0
BGIOSGA000212 2633 302 693 783 197 691
BGIOSGA000213 921 380 321 598 356 272
BGIOSGA000214 412 166 60 337 86 151
BGIOSGA000215 4976 2392 1925 2495 1834 1481
BGIOSGA000216 14 5 0 4 2 4
BGIOSGA000217 41 14 16 15 107 2
BGIOSGA000218 435 339 385 401 285 388
BGIOSGA000219 42 101 87 34 64 43
BGIOSGA000220 836 181 300 721 22 362
BGIOSGA000221 107 529 84 185 349 197
BGIOSGA000222 144 155 211 104 160 167
BGIOSGA000223 7 33 2 36 8 26
BGIOSGA000224 222 286 261 183 424 288
BGIOSGA000225 1039 590 613 1114 596 743
BGIOSGA000226 419 119 309 381 127 179
BGIOSGA000227 310 270 294 393 468 216
BGIOSGA000228 1264 2010 1542 2830 2166 2890
BGIOSGA000229 2 2 0 9 14 6
BGIOSGA000230 53 22 8 128 13 25
BGIOSGA000231 84 184 12 403 181 208
BGIOSGA000232 0 0 0 0 0 0
BGIOSGA000233 872 521 691 647 392 418
BGIOSGA000234 0 0 0 0 0 0
BGIOSGA000235 370 179 195 329 199 261
BGIOSGA000236 264 207 99 122 338 214
BGIOSGA000237 526 20 138 283 27 87
BGIOSGA000238 74 32 35 20 2 27
BGIOSGA000239 14 18 4 12 2 2
BGIOSGA000240 0 2 0 0 0 0
BGIOSGA000241 0 0 0 0 0 0
BGIOSGA000242 119 187 419 160 121 202
BGIOSGA000243 1604 2192 1410 1862 2647 2047
BGIOSGA000244 90 170 214 138 305 217
BGIOSGA000245 437 223 426 256 280 245
BGIOSGA000246 0 0 0 0 0 0
BGIOSGA000247 8 116 10 75 90 45
BGIOSGA000248 43 33 4 89 33 57
BGIOSGA000249 202 139 198 248 227 232
BGIOSGA000250 0 0 0 0 0 0
BGIOSGA000251 51 17 16 74 7 45
BGIOSGA000252 64 4 16 86 0 31
BGIOSGA000253 11 117 7 6 115 44
BGIOSGA000254 6 165 6 2 123 29
