Geneid SRR420912 SRR420913 SRR420914 SRR420915 SRR420916 SRR420917
BGIOSGA008622 11 2 2 15 1 4
BGIOSGA008623 6 0 6 2 0 0
BGIOSGA008624 14 0 0 0 0 2
BGIOSGA008625 0 0 0 0 0 0
BGIOSGA008626 84 30 63 64 2 71
BGIOSGA008627 0 0 0 0 0 0
BGIOSGA008628 2 0 0 0 0 2
BGIOSGA008629 0 0 0 0 0 0
BGIOSGA008630 28 9 31 32 22 18
BGIOSGA008631 192 30 53 87 27 38
BGIOSGA008632 23 124 116 12 465 92
BGIOSGA008633 219 936 706 605 1859 1176
BGIOSGA008634 0 0 0 0 0 0
BGIOSGA008635 0 0 0 0 0 0
BGIOSGA008636 0 0 0 0 0 0
BGIOSGA008637 114 82 157 121 20 120
BGIOSGA008638 145 60 24 96 34 127
BGIOSGA008639 67 239 141 31 93 118
BGIOSGA008640 17 5 2 0 6 8
BGIOSGA008641 761 4 0 61 13 12
BGIOSGA008642 0 0 0 0 0 0
BGIOSGA008643 2772 1169 849 1265 655 536
BGIOSGA008644 610 563 563 450 556 352
BGIOSGA008645 1659 953 1422 1183 553 590
BGIOSGA008646 27 74 37 62 64 77
BGIOSGA008647 237 377 364 109 337 196
BGIOSGA008648 612 482 705 802 419 727
BGIOSGA008649 19 6 0 0 0 0
BGIOSGA008650 109 186 34 75 323 192
BGIOSGA008651 15 0 2 2 0 10
BGIOSGA008652 2 58 4 0 2 2
BGIOSGA008653 3 0 0 16 0 14
BGIOSGA008654 0 0 0 0 0 0
BGIOSGA008655 38 4 6 26 4 12
BGIOSGA008656 915 23 68 238 4 43
BGIOSGA008657 438 371 69 337 473 293
BGIOSGA008658 2 10 2 0 13 0
BGIOSGA008659 2 4 0 6 14 2
BGIOSGA008660 4946 2394 590 3818 1823 1002
BGIOSGA008661 1 1 0 3 0 4
BGIOSGA008662 1543 306 344 804 176 352
BGIOSGA008663 0 1 0 0 0 0
BGIOSGA008664 0 0 0 2 0 11
BGIOSGA008665 444 868 599 417 1335 661
BGIOSGA008666 16 37 20 8 58 12
BGIOSGA008667 0 0 0 0 0 0
BGIOSGA008668 0 0 0 0 0 2
BGIOSGA008669 494 191 451 215 98 144
BGIOSGA008670 0 0 0 0 0 0
BGIOSGA008671 0 0 0 0 0 0
BGIOSGA008672 0 0 0 0 0 0
BGIOSGA008673 152 32 53 68 34 38
BGIOSGA008674 642 28 141 583 2 100
BGIOSGA008675 1 1 0 0 1 1
BGIOSGA008676 294 235 106 366 133 227
BGIOSGA008677 119 17 71 51 7 18
BGIOSGA008678 537 24 113 343 5 147
BGIOSGA008679 1110 464 1060 719 283 532
BGIOSGA008680 187 32 71 290 16 159
BGIOSGA008681 63 2 18 40 2 10
BGIOSGA008682 69 58 63 91 26 54
BGIOSGA008683 4 0 2 2 0 0
BGIOSGA008684 0 0 0 0 0 0
BGIOSGA008685 25 70 3 56 27 18
BGIOSGA008686 90 85 74 99 45 124
BGIOSGA008687 297 377 512 679 282 425
BGIOSGA008688 591 584 554 275 469 364
BGIOSGA008689 42 15 0 8 28 30
BGIOSGA008690 77 15 1 32 0 4
BGIOSGA008691 295 31 81 156 0 20
BGIOSGA008692 161 112 126 131 135 79
BGIOSGA008693 14 23 56 24 27 39
BGIOSGA008694 85 83 159 132 107 153
BGIOSGA008695 4 0 11 0 0 4
BGIOSGA008696 0 0 0 0 0 0
BGIOSGA008697 0 0 0 0 0 0
BGIOSGA008698 181 508 122 189 953 489
BGIOSGA008699 414 233 404 260 239 107
BGIOSGA008700 0 0 0 0 0 0
BGIOSGA008701 24 29 41 30 23 38
BGIOSGA008702 0 0 0 0 0 0
BGIOSGA008703 16 23 30 13 20 28
BGIOSGA008704 18 530 2 67 519 203
BGIOSGA008705 13 18 28 20 15 24
BGIOSGA008706 2548 683 1306 1485 465 1071
BGIOSGA008707 0 0 0 0 0 0
BGIOSGA008708 100 25 102 57 59 76
BGIOSGA008709 209 92 101 270 72 217
BGIOSGA008710 35 9 65 36 3 24
BGIOSGA008711 0 0 0 0 0 1
BGIOSGA008712 188 82 293 246 103 170
BGIOSGA008713 0 0 0 0 0 0
BGIOSGA008714 62 121 34 166 110 196
BGIOSGA008715 0 0 0 0 0 0
BGIOSGA008716 201 389 94 33 58 146
BGIOSGA008717 230 280 459 267 346 369
BGIOSGA008718 0 0 0 0 0 0
BGIOSGA008719 6 10 7 0 35 0
BGIOSGA008720 2 57 17 9 39 37
BGIOSGA008721 253 569 345 630 588 532
BGIOSGA008722 0 0 0 0 0 0
BGIOSGA008723 0 2 0 0 2 2
BGIOSGA008724 2 6 4 3 2 3
BGIOSGA008725 4 15 0 20 29 26
BGIOSGA008726 0 0 0 0 0 0
BGIOSGA008727 0 62 2 10 228 12
BGIOSGA008728 0 0 0 0 0 0
BGIOSGA008729 0 0 0 0 0 0
BGIOSGA008730 3 0 4 0 0 0
BGIOSGA008731 13 0 1 6 1 0
BGIOSGA008732 1316 905 989 498 791 580
BGIOSGA008733 327 2319 159 189 2664 931
BGIOSGA008734 46 11 14 30 20 25
BGIOSGA008735 148 171 134 194 95 207
BGIOSGA008736 181 23 31 118 21 84
BGIOSGA008737 342 232 406 365 184 322
BGIOSGA008738 0 0 0 0 0 0
BGIOSGA008739 34 54 120 96 41 98
BGIOSGA008740 0 2 0 8 0 2
BGIOSGA008741 9 0 6 2 2 4
BGIOSGA008742 407 832 713 399 751 460
BGIOSGA008743 0 0 0 0 0 2
BGIOSGA008744 128 83 195 101 90 88
BGIOSGA008745 2004 1912 2558 3299 2680 3798
BGIOSGA008746 5 9 2 0 9 0
BGIOSGA008747 0 0 0 0 0 0
BGIOSGA008748 16 0 2 18 4 7
BGIOSGA008749 92 162 4 53 47 30
BGIOSGA008750 0 0 0 2 0 0
BGIOSGA008751 205 58 25 80 86 52
BGIOSGA008752 0 0 0 2 0 2
BGIOSGA008753 311 101 10 151 2 6
BGIOSGA008754 0 0 0 0 0 0
BGIOSGA008755 0 0 0 0 2 5
BGIOSGA008756 94 92 95 82 65 83
BGIOSGA008757 0 0 0 0 0 0
BGIOSGA008758 66 27 11 93 15 32
BGIOSGA008759 68 129 71 220 231 164
BGIOSGA008760 17101 233 2374 8550 1 2031
BGIOSGA008761 0 0 0 0 0 0
BGIOSGA008762 157 67 131 108 61 84
BGIOSGA008763 293 94 204 250 91 160
BGIOSGA008764 361 173 181 436 161 218
BGIOSGA008765 599 1553 1118 375 1445 486
BGIOSGA008766 2254 1426 2602 1893 1420 1231
BGIOSGA008767 2067 1606 2444 2155 773 1143
BGIOSGA008768 0 0 0 0 0 0
BGIOSGA008769 169 87 153 111 137 53
BGIOSGA008770 49 65 8 22 50 72
BGIOSGA008771 386 508 310 326 391 417
BGIOSGA008772 292 449 432 340 340 498
BGIOSGA008773 14620 2932 5248 12981 2433 5312
BGIOSGA008774 2 18 6 4 0 22
BGIOSGA008775 50 14 10 35 2 20
BGIOSGA008776 0 0 0 0 0 0
BGIOSGA008777 196 33 78 40 19 28
BGIOSGA008778 177 67 225 148 51 137
BGIOSGA008779 192 42 143 153 96 92
BGIOSGA008780 247 1258 280 189 1468 980
BGIOSGA008781 113 44 82 118 59 113
BGIOSGA008782 742 216 117 553 99 474
BGIOSGA008783 174 1268 260 265 671 635
BGIOSGA008784 247 1956 248 719 2958 977
BGIOSGA008785 51 3803 376 1052 6086 2785
BGIOSGA008786 0 0 0 0 0 2
BGIOSGA008787 108 166 51 101 307 195
BGIOSGA008788 0 0 0 0 0 0
BGIOSGA008789 197 3 54 265 0 61
BGIOSGA008790 0 2 4 2 0 0
BGIOSGA008791 406 284 357 471 280 395
BGIOSGA008792 86 22 58 77 10 27
BGIOSGA008793 43 16 14 16 20 12
BGIOSGA008794 177 1085 415 181 2747 346
BGIOSGA008795 341 376 407 315 397 262
BGIOSGA008796 0 0 0 0 0 0
BGIOSGA008797 95 144 182 94 195 121
BGIOSGA008798 764 460 782 689 360 410
BGIOSGA008799 28 62 18 4 12 11
BGIOSGA008800 57 39 80 47 63 72
BGIOSGA008801 4 0 0 0 0 0
BGIOSGA008802 33 1054 120 4 1733 481
BGIOSGA008803 0 0 0 0 0 0
BGIOSGA008804 19 478 58 4 1207 225
BGIOSGA008805 430 423 285 360 473 325
BGIOSGA008806 27 23 3 65 34 47
BGIOSGA008807 0 0 0 0 0 0
BGIOSGA008808 72 37 69 16 23 41
BGIOSGA008809 0 93 7 0 103 6
BGIOSGA008810 1217 399 592 481 279 226
BGIOSGA008811 16 8 10 38 0 4
BGIOSGA008812 0 0 0 0 0 0
BGIOSGA008813 122 70 196 122 49 138
BGIOSGA008814 8 0 0 14 0 17
BGIOSGA008815 568 250 1052 376 239 254
BGIOSGA008816 40 28 23 14 39 23
BGIOSGA008817 58 68 225 125 34 91
BGIOSGA008818 147 122 58 171 143 255
BGIOSGA008819 0 0 0 0 0 0
BGIOSGA008820 0 0 4 0 0 0
BGIOSGA008821 0 0 0 0 0 0
BGIOSGA008822 0 0 0 0 0 0
BGIOSGA008823 185 397 378 41 149 53
BGIOSGA008824 52 46 10 19 15 4
BGIOSGA008825 262 407 466 153 445 230
BGIOSGA008826 133 95 145 130 77 107
BGIOSGA008827 75 147 122 76 116 83
BGIOSGA008828 0 0 0 0 0 0
BGIOSGA008829 406 1116 1131 347 1147 832
BGIOSGA008830 0 2 0 0 0 0
BGIOSGA008831 1336 505 881 578 392 244
BGIOSGA008832 61 39 8 40 25 19
BGIOSGA008833 0 0 0 0 0 0
BGIOSGA008834 0 0 0 0 0 0
BGIOSGA008835 312 89 279 191 32 96
BGIOSGA008836 11 63 4 22 40 24
BGIOSGA008837 32 46 21 27 45 56
BGIOSGA008838 93 208 119 73 195 129
BGIOSGA008839 2779 2553 2755 1990 1943 1824
BGIOSGA008840 140 349 408 124 393 279
BGIOSGA008841 191 330 162 242 522 186
BGIOSGA008842 23 2 0 24 0 17
BGIOSGA008843 1062 669 614 581 629 458
BGIOSGA008844 759 397 590 697 325 478
BGIOSGA008845 0 0 0 0 0 0
BGIOSGA008846 31 2 4 31 0 41
BGIOSGA008847 18 33 2 68 36 43
BGIOSGA008848 355 297 730 104 144 187
BGIOSGA008849 0 2 0 1 0 0
BGIOSGA008850 96 149 112 193 241 163
BGIOSGA008851 184 169 323 214 217 258
BGIOSGA008852 13 2 6 3 0 4
BGIOSGA008853 0 2 0 0 0 0
BGIOSGA008854 0 0 0 0 0 0
BGIOSGA008855 0 0 0 0 0 0
BGIOSGA008856 97 95 70 66 80 76
BGIOSGA008857 30 22 3 47 35 41
BGIOSGA008858 278 443 72 255 1212 1131
BGIOSGA008859 500 618 853 298 419 212
BGIOSGA008860 14 6 13 28 0 5
BGIOSGA008861 201 83 139 185 113 147
BGIOSGA008862 1502 1608 1335 806 1296 813
BGIOSGA008863 382 109 137 133 82 106
BGIOSGA008864 742 254 567 619 43 260
BGIOSGA008865 4 16 29 30 10 29
BGIOSGA008866 169 421 152 437 112 250
BGIOSGA008867 337 1886 274 154 1442 365
BGIOSGA008868 139 368 204 41 809 105
BGIOSGA008869 358 584 404 605 724 377
BGIOSGA008870 1300 269 94 805 10 226
BGIOSGA008871 2277 690 228 1606 564 1156
BGIOSGA008872 0 9 18 2 15 16
BGIOSGA008873 8 23 10 19 47 38
BGIOSGA008874 1633 498 385 1292 68 563
BGIOSGA008875 140 25 103 165 33 55
BGIOSGA008876 1695 585 1029 1361 228 732
BGIOSGA008877 273 77 121 211 55 187
BGIOSGA008878 202 96 167 243 81 213
BGIOSGA008879 37 54 102 46 78 115
BGIOSGA008880 3 0 0 3 5 6
BGIOSGA008881 34 13 81 18 8 22
BGIOSGA008882 105 377 14 195 212 358
BGIOSGA008883 567 1901 321 380 5153 2304
BGIOSGA008884 364 426 663 429 316 434
BGIOSGA008885 279 492 767 193 254 332
BGIOSGA008886 709 512 399 540 339 362
BGIOSGA008887 352 111 249 358 54 162
BGIOSGA008888 25 288 67 35 88 137
BGIOSGA008889 38 25 34 61 34 144
BGIOSGA008890 289 41 117 100 22 52
BGIOSGA008891 0 1 0 4 1 0
BGIOSGA008892 8 3 8 22 10 39
BGIOSGA008893 6 4 1 9 5 6
BGIOSGA008894 780 252 559 630 280 245
BGIOSGA008895 313 249 355 260 440 273
BGIOSGA008896 437 566 468 546 416 724
BGIOSGA008897 97 77 138 49 28 29
BGIOSGA008898 509 402 905 431 408 413
BGIOSGA008899 0 0 0 1 0 0
BGIOSGA008900 0 0 0 0 0 0
BGIOSGA008901 5 35 3 9 44 31
BGIOSGA008902 1346 1367 1418 1503 1307 1137
BGIOSGA008903 49 14 8 101 0 19
BGIOSGA008904 822 763 275 883 169 515
BGIOSGA008905 73 12 33 140 0 74
BGIOSGA008906 27 16 57 39 20 27
BGIOSGA008907 147 144 271 136 174 190
BGIOSGA008908 2094 950 1442 863 759 558
BGIOSGA008909 51 41 68 61 61 47
BGIOSGA008910 0 4 0 0 0 2
BGIOSGA008911 70 536 238 13 525 178
BGIOSGA008912 899 482 100 502 314 322
BGIOSGA008913 224 367 392 302 423 281
BGIOSGA008914 589 401 640 420 421 298
BGIOSGA008915 1917 610 1391 1169 401 1071
BGIOSGA008916 0 0 0 0 0 2
BGIOSGA008917 0 0 0 0 0 0
BGIOSGA008918 17 0 0 52 0 0
BGIOSGA008919 429 65 256 231 98 80
BGIOSGA008920 198 48 22 161 10 86
BGIOSGA008921 28 110 14 58 128 93
BGIOSGA008922 83 109 116 78 71 76
BGIOSGA008923 50 132 34 49 154 35
BGIOSGA008924 0 0 0 0 0 0
BGIOSGA008925 528 680 313 790 423 466
BGIOSGA008926 0 0 0 0 0 0
BGIOSGA008927 568 566 413 445 136 537
BGIOSGA008928 40 32 8 32 30 26
BGIOSGA008929 78 69 32 93 38 80
BGIOSGA008930 0 0 0 0 0 0
BGIOSGA008931 578 11 9 54 19 13
BGIOSGA008932 0 0 0 0 0 0
BGIOSGA008933 16711 3568 3057 5409 1722 1857
BGIOSGA008934 233 73 107 337 4 319
BGIOSGA008935 291 109 164 225 174 144
BGIOSGA008936 0 0 0 0 0 0
BGIOSGA008937 18 10 0 17 26 32
BGIOSGA008938 5 20 3 26 19 31
BGIOSGA008939 694 1118 1562 1146 1076 1221
BGIOSGA008940 0 7 0 18 5 4
BGIOSGA008941 180 143 330 260 224 264
BGIOSGA008942 357 55 130 257 2 177
BGIOSGA008943 140 47 148 224 10 179
BGIOSGA008944 0 4 0 2 10 2
BGIOSGA008945 83 793 51 82 1115 465
BGIOSGA008946 890 72 145 623 54 421
BGIOSGA008947 0 0 0 0 0 0
BGIOSGA008948 0 0 0 0 0 0
BGIOSGA008949 619 129 247 364 71 120
BGIOSGA008950 176 261 81 140 194 80
BGIOSGA008951 719 499 273 598 544 481
BGIOSGA008952 43 7 8 180 2 43
BGIOSGA008953 25 0 10 7 10 10
BGIOSGA008954 163 113 109 193 59 130
BGIOSGA008955 0 0 0 0 0 0
BGIOSGA008956 51 74 94 178 134 173
BGIOSGA008957 127 4 130 86 2 116
BGIOSGA008958 365 148 216 299 122 187
BGIOSGA008959 375 26 121 147 0 99
BGIOSGA008960 6 21 14 17 9 21
BGIOSGA008961 470 465 397 670 488 716
BGIOSGA008962 56 35 13 59 25 75
BGIOSGA008963 204 52 84 193 46 97
BGIOSGA008964 348 150 172 230 91 213
BGIOSGA008965 172 50 126 111 0 33
BGIOSGA008966 19 24 20 15 13 28
BGIOSGA008967 205 56 127 260 45 118
BGIOSGA008968 5 43 25 10 50 6
BGIOSGA008969 266 521 880 173 721 361
BGIOSGA008970 155 36 46 74 51 67
BGIOSGA008971 0 0 0 2 0 0
BGIOSGA008972 0 0 0 0 0 0
BGIOSGA008973 31 73 118 22 43 55
BGIOSGA008974 74 135 7 43 292 61
BGIOSGA008975 13 8 0 11 9 4
BGIOSGA008976 347 1217 119 793 1582 1158
BGIOSGA008977 0 2 0 2 0 0
BGIOSGA008978 2 0 0 3 0 0
BGIOSGA008979 471 311 521 905 265 475
BGIOSGA008980 323 54 121 208 20 259
BGIOSGA008981 0 0 0 0 0 0
BGIOSGA008982 23 13 37 70 18 68
BGIOSGA008983 279 99 2652 179 60 231
BGIOSGA008984 52 62 26 168 107 582
BGIOSGA008985 0 0 2 5 0 4
BGIOSGA008986 38 8 2 9 8 8
BGIOSGA008987 4 2 0 1 0 0
BGIOSGA008988 663 277 755 452 462 846
BGIOSGA008989 37 69 105 107 13 161
BGIOSGA008990 0 8 0 2 2 2
BGIOSGA008991 15 0 3 14 0 1
BGIOSGA008992 54 70 63 116 99 110
BGIOSGA008993 3 0 15 18 2 17
BGIOSGA008994 31 76 28 55 102 82
BGIOSGA008995 190 269 380 148 221 193
BGIOSGA008996 190 866 57 361 544 469
BGIOSGA008997 0 2 0 0 0 0
BGIOSGA008998 0 0 0 0 0 0
BGIOSGA008999 0 0 0 0 0 0
BGIOSGA009000 0 0 0 0 0 0
BGIOSGA009001 596 351 237 349 294 378
BGIOSGA009002 2 17 5 3 0 14
BGIOSGA009003 180 42 77 106 60 84
BGIOSGA009004 0 2 0 0 0 0
BGIOSGA009005 461 291 430 794 470 512
BGIOSGA009006 31 22 36 51 4 24
BGIOSGA009007 434 213 296 307 52 251
BGIOSGA009008 197 181 507 204 244 336
BGIOSGA009009 211 160 388 252 155 177
BGIOSGA009010 4 1 4 5 5 12
BGIOSGA009011 29 32 23 6 46 40
BGIOSGA009012 0 0 0 2 0 0
BGIOSGA009013 0 0 0 0 0 0
BGIOSGA009014 0 0 0 0 0 0
BGIOSGA009015 0 0 0 0 0 0
BGIOSGA009016 0 0 2 0 0 6
BGIOSGA009017 12 32 0 45 5 14
BGIOSGA009018 676 342 430 429 208 353
BGIOSGA009019 380 1782 126 276 2247 574
BGIOSGA009020 0 0 0 0 0 0
BGIOSGA009021 0 0 0 0 0 0
BGIOSGA009022 86 82 142 138 58 124
BGIOSGA009023 0 1 0 0 1 0
BGIOSGA009024 82 61 61 37 57 121
BGIOSGA009025 0 2 0 4 14 5
BGIOSGA009026 346 423 434 314 479 253
BGIOSGA009027 0 0 0 0 0 0
BGIOSGA009028 173 229 369 176 206 233
BGIOSGA009029 0 0 0 0 0 0
BGIOSGA009030 0 0 0 0 0 0
BGIOSGA009031 0 0 0 0 0 0
BGIOSGA009032 1815 1893 2011 1828 2078 1579
BGIOSGA009033 972 1117 1324 1168 1113 812
BGIOSGA009034 2 0 0 17 0 2
BGIOSGA009035 156 301 152 60 360 191
BGIOSGA009036 1056 1403 1447 1334 1338 739
BGIOSGA009037 0 0 0 0 0 0
BGIOSGA009038 31 2 13 94 1 45
BGIOSGA009039 0 0 0 2 0 6
BGIOSGA009040 12 4 21 28 20 23
BGIOSGA009041 141 19 40 95 3 202
BGIOSGA009042 12 4 0 168 0 41
BGIOSGA009043 5677 15807 4437 11762 24515 18124
BGIOSGA009044 52 17 127 6 42 51
BGIOSGA009045 14 482 39 15 459 112
BGIOSGA009046 348 410 486 436 272 401
BGIOSGA009047 108 273 277 143 228 159
BGIOSGA009048 37 23 108 35 15 52
BGIOSGA009049 25 3 2 70 0 14
BGIOSGA009050 278 59 234 183 77 123
BGIOSGA009051 0 0 0 0 0 0
BGIOSGA009052 0 2 0 0 0 2
BGIOSGA009053 77 39 88 62 71 30
BGIOSGA009054 401 255 376 365 188 294
BGIOSGA009055 1197 1913 1707 1402 979 1265
BGIOSGA009056 0 0 0 0 0 2
BGIOSGA009057 167 69 232 130 62 111
BGIOSGA009058 11 14 12 99 11 58
BGIOSGA009059 30 11 57 69 5 37
BGIOSGA009060 0 0 0 0 0 0
BGIOSGA009061 247 31 276 146 0 144
BGIOSGA009062 0 0 0 0 0 0
BGIOSGA009063 2 0 2 2 8 0
BGIOSGA009064 0 0 8 2 0 0
BGIOSGA009065 288 83 145 149 47 62
BGIOSGA009066 2 0 0 1 0 0
BGIOSGA009067 2 0 0 4 0 6
BGIOSGA009068 1101 1571 1167 3300 1217 2176
BGIOSGA009069 152 122 110 185 104 135
BGIOSGA009070 484 742 153 2405 464 1001
BGIOSGA009071 80 27 10 145 0 26
BGIOSGA009072 16 6 6 48 4 36
BGIOSGA009073 24 46 328 73 119 190
BGIOSGA009074 326 383 573 467 307 373
BGIOSGA009075 42 58 42 89 25 73
BGIOSGA009076 50 32 66 40 44 28
BGIOSGA009077 4 11 5 1 28 16
BGIOSGA009078 483 2492 1204 473 2193 1315
BGIOSGA009079 21 0 0 46 2 4
BGIOSGA009080 416 266 522 332 923 3383
BGIOSGA009081 0 0 0 0 0 0
BGIOSGA009082 0 0 0 0 0 0
BGIOSGA009083 167 139 56 670 103 739
BGIOSGA009084 212 265 248 208 122 1170
BGIOSGA009085 471 480 738 360 594 388
BGIOSGA009086 50 855 70 12 1399 657
BGIOSGA009087 39 33 38 38 61 53
BGIOSGA009088 860 526 587 1406 433 608
BGIOSGA009089 4 4 10 6 7 13
BGIOSGA009090 1035 200 637 560 66 347
BGIOSGA009091 59 78 32 66 89 107
BGIOSGA009092 0 0 0 0 0 0
BGIOSGA009093 270 34 85 536 26 163
BGIOSGA009094 65 255 103 105 607 216
BGIOSGA009095 586 240 484 506 120 230
BGIOSGA009096 0 0 0 0 0 0
BGIOSGA009097 123 85 10 174 90 148
BGIOSGA009098 363 100 56 275 24 479
BGIOSGA009099 1016 799 310 396 453 561
BGIOSGA009100 96 66 34 75 6 53
BGIOSGA009101 437 767 496 271 780 376
BGIOSGA009102 13 60 5 144 75 144
BGIOSGA009103 1391 990 1220 1294 1058 1440
BGIOSGA009104 109 20 16 91 2 98
BGIOSGA009105 12 0 4 4 0 0
BGIOSGA009106 0 0 0 0 0 0
BGIOSGA009107 294 2462 174 1057 2921 1312
BGIOSGA009108 0 0 0 0 0 0
BGIOSGA009109 318 161 254 274 137 141
BGIOSGA009110 7 19 7 6 16 1
BGIOSGA009111 70 27 23 59 68 54
BGIOSGA009112 697 419 555 691 450 413
BGIOSGA009113 679 818 757 948 931 690
BGIOSGA009114 31 461 20 95 840 327
BGIOSGA009115 0 0 0 0 0 0
BGIOSGA009116 26 67 18 80 44 38
BGIOSGA009117 201 1621 710 180 2082 383
BGIOSGA009118 88 88 7 112 38 65
BGIOSGA009119 429 272 164 318 117 128
BGIOSGA009120 0 0 0 0 0 0
BGIOSGA009121 0 53 2 21 6 16
BGIOSGA009122 183 104 179 154 107 252
BGIOSGA009123 2 2 6 0 0 0
BGIOSGA009124 27 4 19 12 4 5
BGIOSGA009125 198 138 391 217 155 118
BGIOSGA009126 0 0 0 0 0 0
BGIOSGA009127 106 16 29 66 35 27
BGIOSGA009128 54 41 78 28 22 42
BGIOSGA009129 0 18 22 274 87 187
BGIOSGA009130 2 6 6 14 0 4
BGIOSGA009131 0 0 0 0 0 0
BGIOSGA009132 0 0 0 0 0 0
BGIOSGA009133 377 297 244 340 538 340
BGIOSGA009134 570 575 475 668 738 638
BGIOSGA009135 2 0 0 2 0 0
BGIOSGA009136 404 259 624 379 197 211
BGIOSGA009137 668 334 739 715 509 533
BGIOSGA009138 172 86 150 131 29 105
BGIOSGA009139 1887 560 1219 393 532 548
BGIOSGA009140 118 68 235 58 48 79
BGIOSGA009141 0 0 0 0 0 0
BGIOSGA009142 0 0 0 0 0 0
BGIOSGA009143 11 33 0 44 6 9
BGIOSGA009144 3 7 12 1 0 4
BGIOSGA009145 0 2 0 0 0 0
BGIOSGA009146 0 0 0 2 0 0
BGIOSGA009147 214 355 500 429 363 362
BGIOSGA009148 111 126 250 107 156 171
BGIOSGA009149 467 1585 1963 342 2779 1416
BGIOSGA009150 0 0 0 0 0 0
BGIOSGA009151 299 38 88 259 10 113
BGIOSGA009152 111 75 189 114 61 55
BGIOSGA009153 518 157 412 355 310 197
BGIOSGA009154 0 0 0 0 0 0
BGIOSGA009155 565 564 635 607 410 456
BGIOSGA009156 141 93 325 130 77 87
BGIOSGA009157 6 4 2 12 7 2
BGIOSGA009158 24 16 6 12 22 4
BGIOSGA009159 3 0 0 6 0 0
BGIOSGA009160 0 0 0 0 0 0
BGIOSGA009161 2251 741 922 1973 721 1512
BGIOSGA009162 106 46 160 61 58 56
BGIOSGA009163 788 390 767 599 393 281
BGIOSGA009164 431 492 541 693 574 538
BGIOSGA009165 0 0 0 0 0 0
BGIOSGA009166 29 442 73 70 789 167
BGIOSGA009167 35 0 0 34 0 2
BGIOSGA009168 40 6 0 84 0 10
BGIOSGA009169 0 0 0 0 0 0
BGIOSGA009170 14 1 26 9 0 15
BGIOSGA009171 136 232 332 241 200 244
BGIOSGA009172 2 34 2 3 61 4
BGIOSGA009173 478 473 761 679 462 571
BGIOSGA009174 9 830 37 24 1070 130
BGIOSGA009175 0 0 0 0 0 0
BGIOSGA009176 976 329 391 925 433 690
BGIOSGA009177 0 0 0 0 0 0
BGIOSGA009178 296 588 649 149 802 472
BGIOSGA009179 0 0 2 0 0 0
BGIOSGA009180 0 0 0 0 0 0
BGIOSGA009181 1090 14401 2449 5092 8735 4102
BGIOSGA009182 321 115 214 268 104 183
BGIOSGA009183 18 4 9 34 0 7
BGIOSGA009184 438 569 294 414 854 781
BGIOSGA009185 25 0 2 69 3 8
BGIOSGA009186 0 0 0 0 0 0
BGIOSGA009187 0 0 0 0 0 0
BGIOSGA009188 12 7 4 23 1 58
BGIOSGA009189 0 0 0 0 0 0
BGIOSGA009190 8 2 0 60 0 28
BGIOSGA009191 749 143 184 339 69 148
BGIOSGA009192 37 26 48 27 24 27
BGIOSGA009193 827 695 942 892 409 448
BGIOSGA009194 0 0 4 0 0 0
BGIOSGA009195 646 613 240 455 642 485
BGIOSGA009196 0 0 0 0 0 0
BGIOSGA009197 5 2 11 10 4 3
BGIOSGA009198 473 307 391 398 291 197
BGIOSGA009199 45 14 18 19 4 18
BGIOSGA009200 282 114 189 146 117 138
BGIOSGA009201 0 0 0 0 0 0
BGIOSGA009202 121 155 42 315 138 365
BGIOSGA009203 0 0 0 0 0 0
BGIOSGA009204 0 0 0 0 0 0
BGIOSGA009205 132 59 70 140 32 92
BGIOSGA009206 458 99 237 257 107 171
BGIOSGA009207 932 194 243 393 140 223
BGIOSGA009208 0 0 0 0 2 2
BGIOSGA009209 1206 487 480 579 501 314
BGIOSGA009210 1228 6168 1128 1360 8412 3188
BGIOSGA009211 20 29 25 16 41 17
BGIOSGA009212 139 166 32 87 152 123
BGIOSGA009213 31 78 9 120 81 173
BGIOSGA009214 0 0 0 0 0 0
BGIOSGA009215 0 0 2 0 0 0
BGIOSGA009216 0 4 6 4 0 9
BGIOSGA009217 214 117 375 217 117 135
BGIOSGA009218 272 406 144 54 244 135
BGIOSGA009219 2 0 8 5 0 0
BGIOSGA009220 955 959 1489 914 1286 1319
BGIOSGA009221 55 207 21 134 107 85
BGIOSGA009222 195 342 332 322 421 310
BGIOSGA009223 0 0 0 0 0 0
BGIOSGA009224 0 0 0 0 0 0
BGIOSGA009225 87 283 71 317 353 368
BGIOSGA009226 1013 154 251 479 38 206
BGIOSGA009227 956 1279 1192 477 1341 854
BGIOSGA009228 505 157 267 308 187 258
BGIOSGA009229 306 155 342 270 133 143
BGIOSGA009230 299 1737 721 57 1361 246
BGIOSGA009231 13 18 4 10 7 3
BGIOSGA009232 2 0 0 0 0 0
BGIOSGA009233 272 108 111 198 153 172
BGIOSGA009234 11 9 6 11 0 15
BGIOSGA009235 26 9 26 19 9 14
BGIOSGA009236 66 31 102 24 25 18
BGIOSGA009237 30 26 23 39 9 57
BGIOSGA009238 1144 118 708 402 28 145
BGIOSGA009239 394 377 547 616 410 506
BGIOSGA009240 83 56 87 99 57 33
BGIOSGA009241 407 468 62 309 724 415
BGIOSGA009242 0 0 0 0 0 0
BGIOSGA009243 493 520 550 311 460 248
BGIOSGA009244 4 4 13 4 15 5
BGIOSGA009245 53 25 91 48 51 44
