"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Category"
"BGIOSGA000001"	822.40676883386	0.0563093251333185	0.671510923196926	0.0838546674196176	0.933171982715596	0.999958456413115	"Not_significant"
"BGIOSGA000002"	1008.81313367388	0.0365624662584753	0.676692449872189	0.0540311426045629	0.956910352263006	0.999958456413115	"Not_significant"
"BGIOSGA000004"	109.834246304262	1.12823709667849	0.783260688787806	1.44043625938202	0.14974401135952	0.999958456413115	"Not_significant"
"BGIOSGA000005"	42.4626339465198	-0.698691183613851	1.3067427291781	-0.534681516118558	0.592870105066187	0.999958456413115	"Not_significant"
"BGIOSGA000006"	478.281800274101	0.126135610920998	0.54800119076093	0.230173972333622	0.817956585971952	0.999958456413115	"Not_significant"
"BGIOSGA000007"	168.611295553262	-0.779545732485893	0.710402305910425	-1.09732995796918	0.272497179524401	0.999958456413115	"Not_significant"
"BGIOSGA000008"	15.1683883819625	0.841133345724812	1.2445284238353	0.675865114540868	0.499126288460444	0.999958456413115	"Not_significant"
"BGIOSGA000009"	838.034716447948	-0.561755672269021	0.578333570016273	-0.971335058854037	0.331381455862724	0.999958456413115	"Not_significant"
"BGIOSGA000010"	388.612639908208	-1.35266933117501	0.864599233198537	-1.56450443076486	0.117699153258554	0.999958456413115	"Not_significant"
"BGIOSGA000011"	136.929239964104	0.567569997302768	0.909023218748704	0.62437348749358	0.532382332488497	0.999958456413115	"Not_significant"
"BGIOSGA000012"	156.96608794469	-0.7558029745862	0.646527933853238	-1.16901828213623	0.242396265614662	0.999958456413115	"Not_significant"
"BGIOSGA000013"	147.235429557126	-0.857651403532828	1.10739584385607	-0.774475909667849	0.438649408884244	0.999958456413115	"Not_significant"
"BGIOSGA000014"	361.329466041457	-0.233609695083202	0.646200335653309	-0.361512803683431	0.717716135317358	0.999958456413115	"Not_significant"
"BGIOSGA000015"	81.9134310207679	-0.639133575351017	0.976964335801752	-0.654203589557349	0.512980649272565	0.999958456413115	"Not_significant"
"BGIOSGA000016"	47.9827808864725	0.279832555690712	0.802472487575886	0.348712959039919	0.727304814359006	0.999958456413115	"Not_significant"
"BGIOSGA000017"	58.7113196118135	-1.28093914767958	1.40231062188986	-0.913448937549439	0.361006477536627	0.999958456413115	"Not_significant"
"BGIOSGA000019"	1303.77050956332	-0.249752136063575	1.0065096106401	-0.248136861708396	0.804028515760233	0.999958456413115	"Not_significant"
"BGIOSGA000020"	300.386739743897	0.159331707918744	0.660586438350321	0.241197364445812	0.809402153478787	0.999958456413115	"Not_significant"
"BGIOSGA000021"	139.857958367298	-1.20381210764376	0.963575659988422	-1.24931767958754	0.211548904036037	0.999958456413115	"Not_significant"
"BGIOSGA000023"	8.49211371468587	4.80422133832741	1.98920896178623	2.41514161187642	0.0157290930354084	0.999958456413115	"Up-regulated"
"BGIOSGA000024"	133.734620750876	0.635159432677673	0.626511709089925	1.01380297201518	0.310676776880253	0.999958456413115	"Not_significant"
"BGIOSGA000025"	10.1306281474697	-0.626909163612123	1.08416321224189	-0.578242423772861	0.563100460411677	0.999958456413115	"Not_significant"
"BGIOSGA000026"	28.806300749654	-1.82260639488186	1.09379557263127	-1.66631356030939	0.0956509772404771	0.999958456413115	"Not_significant"
"BGIOSGA000027"	390.846334169396	-0.362567664887023	0.829103985755291	-0.437300593310662	0.661893365125952	0.999958456413115	"Not_significant"
"BGIOSGA000028"	67.3562037574882	-1.01533907778831	0.935046869220732	-1.08586971542346	0.277536637186957	0.999958456413115	"Not_significant"
"BGIOSGA000029"	165.536730583909	0.434258150908385	0.837287409642835	0.518648848540107	0.604005638049473	0.999958456413115	"Not_significant"
"BGIOSGA000030"	217.153131998066	0.106578179615282	0.884662103960153	0.120473318726087	0.904108214258173	0.999958456413115	"Not_significant"
"BGIOSGA000032"	31.884307849204	-1.02836396887438	1.2876892339356	-0.798611917979128	0.424515474881211	0.999958456413115	"Not_significant"
"BGIOSGA000033"	108.543088617439	-0.276241904444959	0.700453419207825	-0.394375838378195	0.693303579509173	0.999958456413115	"Not_significant"
"BGIOSGA000035"	280.432183960456	-1.39047213160043	0.878364550341358	-1.58302396318254	0.113416002669421	0.999958456413115	"Not_significant"
"BGIOSGA000036"	42.8134142594728	-0.334994736299049	0.983078406363595	-0.340760954701665	0.733283546661319	0.999958456413115	"Not_significant"
"BGIOSGA000041"	103.589694519255	0.259946993485781	0.799021091455816	0.325331829491706	0.744929943518727	0.999958456413115	"Not_significant"
"BGIOSGA000043"	78.8060710718216	0.209192567168783	0.668238387894752	0.313050807852917	0.754242061576764	0.999958456413115	"Not_significant"
"BGIOSGA000045"	175.518656248113	0.0011093206611329	0.872619605404653	0.00127125342389996	0.998985686793405	0.999958456413115	"Not_significant"
"BGIOSGA000047"	631.419840320238	0.431161015373056	0.548157892067718	0.78656354603719	0.4315374061119	0.999958456413115	"Not_significant"
"BGIOSGA000048"	99.3755384026842	0.150298813494236	0.82674581594551	0.181795674795579	0.855743078975165	0.999958456413115	"Not_significant"
"BGIOSGA000049"	48.4665537829765	0.424096954181507	1.34308127572736	0.315764177377749	0.752181510283978	0.999958456413115	"Not_significant"
"BGIOSGA000051"	259.943917651957	0.865740966049095	0.653444946508594	1.32488738443049	0.185208505714473	0.999958456413115	"Not_significant"
"BGIOSGA000052"	62.406278477365	0.792172950974147	0.748874289696539	1.05781833062416	0.290138274130337	0.999958456413115	"Not_significant"
"BGIOSGA000054"	618.79332703338	-0.626829271347009	1.32091144828792	-0.474542992385648	0.635112747548594	0.999958456413115	"Not_significant"
"BGIOSGA000055"	28.2040007282028	-0.463366387686094	0.764549119884826	-0.606064902351725	0.544471656152261	0.999958456413115	"Not_significant"
"BGIOSGA000058"	183.74007795611	0.0168383888399394	0.651208972508183	0.0258571204495002	0.979371301524717	0.999958456413115	"Not_significant"
"BGIOSGA000060"	495.033552450172	-0.9026457869812	1.28971433811789	-0.699880400103524	0.484001998648831	0.999958456413115	"Not_significant"
"BGIOSGA000061"	56.6056472795761	0.145794599646045	0.809028818046525	0.180209402179368	0.856988177401489	0.999958456413115	"Not_significant"
"BGIOSGA000062"	207.88603556068	-0.0507895575883681	0.616290303686158	-0.0824117421361092	0.934319298938972	0.999958456413115	"Not_significant"
"BGIOSGA000063"	273.470629168382	0.0366654825262181	0.574059383584422	0.0638705394854432	0.949073310451195	0.999958456413115	"Not_significant"
"BGIOSGA000064"	146.500721066389	0.345175384592361	0.638281118394653	0.540788963741423	0.588653050574144	0.999958456413115	"Not_significant"
"BGIOSGA000067"	66.4824476383176	-1.53950517399006	1.00676098210292	-1.52916650660651	0.126223171443318	0.999958456413115	"Not_significant"
"BGIOSGA000068"	11.7952973481773	-1.4042425722323	1.58762975520203	-0.884489955942913	0.376431782052478	0.999958456413115	"Not_significant"
"BGIOSGA000070"	344.320964248751	-0.00177796700525529	0.600729809330709	-0.00295967834064399	0.997638521794696	0.999958456413115	"Not_significant"
"BGIOSGA000071"	1211.18574531894	0.348044635991062	1.04301734476905	0.333690170864921	0.738613367387525	0.999958456413115	"Not_significant"
"BGIOSGA000072"	10.8576765692129	-1.76863959972564	1.37342414698975	-1.28775921378848	0.197829794038939	0.999958456413115	"Not_significant"
"BGIOSGA000074"	42.3674144745546	-0.599453556703565	0.851797182989004	-0.70375151347654	0.481587533792781	0.999958456413115	"Not_significant"
"BGIOSGA000075"	831.451772830064	-0.136529099396255	1.02010796091242	-0.133837892289497	0.893530763019862	0.999958456413115	"Not_significant"
"BGIOSGA000076"	141.442158506737	1.34852980138151	2.14568411489098	0.628484776497507	0.529686416323934	0.999958456413115	"Not_significant"
"BGIOSGA000077"	135.495083761869	-0.351094257360052	0.660696012720236	-0.531400599671424	0.595141206051708	0.999958456413115	"Not_significant"
"BGIOSGA000078"	14.9662827438857	-0.561939938858806	1.38379814796209	-0.406085193629123	0.684680004499244	0.999958456413115	"Not_significant"
"BGIOSGA000079"	43.51958067118	0.204004555920423	0.793728316882602	0.25702063487121	0.797162843712707	0.999958456413115	"Not_significant"
"BGIOSGA000080"	57.0472242643835	0.487095646358708	0.949294163132312	0.513113495559139	0.607871931777988	0.999958456413115	"Not_significant"
"BGIOSGA000082"	523.215179848306	0.979172607770104	1.45427693196823	0.673305466273802	0.500752975889614	0.999958456413115	"Not_significant"
"BGIOSGA000083"	166.435585162137	1.20977509121887	1.59879157971823	0.756680924872069	0.449241045534447	0.999958456413115	"Not_significant"
"BGIOSGA000087"	783.940854672667	-0.197168333913812	1.22154716213548	-0.161408695485098	0.871771518465589	0.999958456413115	"Not_significant"
"BGIOSGA000088"	149.626369350714	0.335803973180703	0.780454893986812	0.430266983739841	0.667001441106295	0.999958456413115	"Not_significant"
"BGIOSGA000090"	265.786646558208	0.259302530239434	0.631703604441514	0.410481321328984	0.681452902720242	0.999958456413115	"Not_significant"
"BGIOSGA000093"	225.86555448843	-0.546676732320589	0.759216396033003	-0.720053907129826	0.471491805446898	0.999958456413115	"Not_significant"
"BGIOSGA000094"	133.62415846354	0.903716762552995	1.00877039808763	0.895859716211156	0.370327691475858	0.999958456413115	"Not_significant"
"BGIOSGA000097"	419.301589480005	-1.26234002632487	0.74518700309321	-1.69399093259141	0.090267006076179	0.999958456413115	"Not_significant"
"BGIOSGA000098"	692.828987796005	0.113636185901991	0.510501212150278	0.222597289090353	0.82384894651192	0.999958456413115	"Not_significant"
"BGIOSGA000102"	120.218155093883	1.46825407238628	1.46831990143883	0.999955167090981	0.317332204852228	0.999958456413115	"Not_significant"
"BGIOSGA000103"	443.830084969071	0.018439200629947	0.6152577388206	0.0299698800461958	0.976091074616659	0.999958456413115	"Not_significant"
"BGIOSGA000104"	41.8529190602466	0.579607715200314	0.899809428291537	0.644144967785914	0.519481432984362	0.999958456413115	"Not_significant"
"BGIOSGA000105"	178.531071508931	0.150334521377538	0.670427613185794	0.224236768326361	0.822573074840367	0.999958456413115	"Not_significant"
"BGIOSGA000109"	1008.25401854928	1.42655993241943	1.12338339151243	1.26987806940855	0.204128066125391	0.999958456413115	"Not_significant"
"BGIOSGA000110"	98.1029331403782	-1.20864661593294	0.911126472816563	-1.32654099292786	0.1846605662439	0.999958456413115	"Not_significant"
"BGIOSGA000111"	151.190566790162	-0.322413162049803	0.722031614208907	-0.446536073635855	0.655210060936138	0.999958456413115	"Not_significant"
"BGIOSGA000113"	505.954433466115	0.143034464330471	1.22412832776232	0.116845972016622	0.906982112837782	0.999958456413115	"Not_significant"
"BGIOSGA000114"	248.700583756955	-0.438418802805698	0.722832787139607	-0.606528661408137	0.544163755895078	0.999958456413115	"Not_significant"
"BGIOSGA000124"	48.8796594261183	1.04419447258871	1.28236282847481	0.814273815025216	0.415488106917542	0.999958456413115	"Not_significant"
"BGIOSGA000125"	225.250931858716	-0.507627856347867	1.2614407043459	-0.402419118551506	0.687375602047786	0.999958456413115	"Not_significant"
"BGIOSGA000126"	516.054591420557	-0.199330356831071	0.551505373392647	-0.361429582462393	0.717778336891754	0.999958456413115	"Not_significant"
"BGIOSGA000128"	24.8214889903169	1.12369088034137	2.03626604832946	0.551838931490921	0.58105871141026	0.999958456413115	"Not_significant"
"BGIOSGA000130"	79.5049543143534	-1.2634025426844	1.09706707727938	-1.15161831837804	0.24947795052184	0.999958456413115	"Not_significant"
"BGIOSGA000142"	241.571242351137	-0.45627357578101	0.735345864171689	-0.620488396021602	0.534936291354894	0.999958456413115	"Not_significant"
"BGIOSGA000144"	86.098375229779	-0.0470593749778714	0.706474356190365	-0.0666115826647087	0.946890924594751	0.999958456413115	"Not_significant"
"BGIOSGA000145"	12.7273177925738	0.240917390422002	1.23650091404336	0.194838020486537	0.845519756594141	0.999958456413115	"Not_significant"
"BGIOSGA000146"	10.3685463304017	0.648264109411449	1.08524762298964	0.597342114074952	0.550278992537651	0.999958456413115	"Not_significant"
"BGIOSGA000147"	312.070326524098	-0.787664462175239	1.08414765046678	-0.726528772936151	0.467514675200598	0.999958456413115	"Not_significant"
"BGIOSGA000150"	152.447605371712	-0.56274311636799	0.650750351523465	-0.864760372469348	0.38717032543968	0.999958456413115	"Not_significant"
"BGIOSGA000152"	305.379898479174	-0.0764416247997254	0.818635747168385	-0.0933768468627624	0.925604183667683	0.999958456413115	"Not_significant"
"BGIOSGA000153"	413.320540590267	0.161096465466398	0.783560221538451	0.205595512684525	0.837106883007563	0.999958456413115	"Not_significant"
"BGIOSGA000154"	144.9230224949	0.345240924946753	1.1501499904267	0.300170349798178	0.764047220268138	0.999958456413115	"Not_significant"
"BGIOSGA000155"	49.3781961156451	-0.831135475663536	1.85088369512052	-0.449047921192811	0.653397087714365	0.999958456413115	"Not_significant"
"BGIOSGA000156"	15.3158956957764	-0.289867241071428	1.46525947709178	-0.197826559461504	0.843180765368275	0.999958456413115	"Not_significant"
"BGIOSGA000159"	12.4867247002591	0.311200740200611	2.01541808803579	0.154410016486408	0.877286456361885	0.999958456413115	"Not_significant"
"BGIOSGA000160"	45.8879587172324	-0.0554702262112559	0.815799953349116	-0.0679948876970796	0.945789703894414	0.999958456413115	"Not_significant"
"BGIOSGA000161"	392.061949806356	-0.169660366107482	0.579173625629111	-0.292935241868435	0.769571650714149	0.999958456413115	"Not_significant"
"BGIOSGA000164"	682.36317700019	0.285832189775076	0.649137502682391	0.440326107479462	0.659700934482221	0.999958456413115	"Not_significant"
"BGIOSGA000165"	874.510761448207	-0.669318232347174	0.529745638528148	-1.26347096354925	0.20641997532279	0.999958456413115	"Not_significant"
"BGIOSGA000167"	142.043098958593	0.571470970336486	0.71152907837779	0.803158982116906	0.421882850093482	0.999958456413115	"Not_significant"
"BGIOSGA000168"	144.478554290207	1.35185876912594	0.943746130930479	1.43243900538494	0.152018222356035	0.999958456413115	"Not_significant"
"BGIOSGA000171"	24.8408115840482	1.76001766973426	1.56924173491596	1.12157205010133	0.262044441022119	0.999958456413115	"Not_significant"
"BGIOSGA000173"	315.901974864669	0.0198135912601632	0.733381467144328	0.0270167602370894	0.97844636617452	0.999958456413115	"Not_significant"
"BGIOSGA000174"	252.574408760032	0.418573197847559	0.655941122979232	0.638126171974754	0.523391551001113	0.999958456413115	"Not_significant"
"BGIOSGA000175"	125.814838447301	0.550598093950632	0.855452330012102	0.643633870215588	0.519812881457142	0.999958456413115	"Not_significant"
"BGIOSGA000176"	2472.13256849787	0.852445223526572	1.11895969672766	0.761819416748879	0.446167790112861	0.999958456413115	"Not_significant"
"BGIOSGA000177"	234.006312020555	0.00807093177668077	0.611965211838218	0.013188546702577	0.989477367254673	0.999958456413115	"Not_significant"
"BGIOSGA000178"	13.2750680318625	-0.304159898525342	1.16548334420429	-0.260973183390279	0.794113187380906	0.999958456413115	"Not_significant"
"BGIOSGA000179"	112.64488015721	0.61837566284099	0.877357759522011	0.70481585890103	0.480924837945611	0.999958456413115	"Not_significant"
"BGIOSGA000180"	22.1364877172372	0.139582485005067	1.35500168592727	0.103012775891526	0.917952831203737	0.999958456413115	"Not_significant"
"BGIOSGA000181"	558.178080733289	0.895119540784799	0.784115285641641	1.14156624309692	0.25363436231303	0.999958456413115	"Not_significant"
"BGIOSGA000182"	43.6989115432327	2.34086846232024	1.07939568574643	2.16868428624622	0.0301066611821276	0.999958456413115	"Up-regulated"
"BGIOSGA000185"	287.030926212238	-0.191292901606149	0.669845647271409	-0.285577584008157	0.775201674127564	0.999958456413115	"Not_significant"
"BGIOSGA000186"	39.6836101719403	0.962644535556637	0.9336157094949	1.03109290660655	0.302497253887213	0.999958456413115	"Not_significant"
"BGIOSGA000187"	781.808829174955	0.214565589366608	0.741210855753274	0.289479825748842	0.772214216061878	0.999958456413115	"Not_significant"
"BGIOSGA000190"	77.9040519033863	-0.082132740311376	1.16366067600108	-0.0705813490180187	0.94373095471398	0.999958456413115	"Not_significant"
"BGIOSGA000191"	118.606997594327	0.0907365032615881	0.60801381202782	0.14923427966047	0.881368771590324	0.999958456413115	"Not_significant"
"BGIOSGA000192"	399.944240329592	0.52716973663014	0.545616462624752	0.966191038470739	0.333948596294045	0.999958456413115	"Not_significant"
"BGIOSGA000193"	103.552913693803	-0.0315776894435591	1.38197306362451	-0.0228497141331684	0.981770152217445	0.999958456413115	"Not_significant"
"BGIOSGA000194"	413.96187553417	0.629112305555509	1.66010071781451	0.378960323795126	0.70471732719835	0.999958456413115	"Not_significant"
"BGIOSGA000195"	10.1645592595054	0.363780871931883	1.86132222603804	0.195442179136396	0.845046799046952	0.999958456413115	"Not_significant"
"BGIOSGA000196"	91.2035660409689	2.40868217144655	1.30512384395203	1.84555832200019	0.0649563628305277	0.999958456413115	"Not_significant"
"BGIOSGA000198"	77.467044939594	0.888956890509395	0.615505624535006	1.44427094582762	0.14866277515316	0.999958456413115	"Not_significant"
"BGIOSGA000199"	90.6003225410778	-1.66502065444397	1.50464552099545	-1.10658665526909	0.268472679523824	0.999958456413115	"Not_significant"
"BGIOSGA000200"	759.003816815349	0.511069861808113	0.651643528400771	0.784278274139166	0.432876844711728	0.999958456413115	"Not_significant"
"BGIOSGA000205"	443.408489092894	0.10658806357439	0.706924204254429	0.150777216189401	0.880151459618798	0.999958456413115	"Not_significant"
"BGIOSGA000207"	214.595731817143	-0.298939585170962	0.612425172352111	-0.488124261814452	0.625461826967655	0.999958456413115	"Not_significant"
"BGIOSGA000208"	34.53938153255	-0.426999623986619	0.842149732053449	-0.507035278566731	0.61213006546851	0.999958456413115	"Not_significant"
"BGIOSGA000209"	52.9679836581073	-0.208440970848476	0.777182838781162	-0.268200686437401	0.78854484664447	0.999958456413115	"Not_significant"
"BGIOSGA000212"	804.675496799434	-1.32009719600252	1.0078315301776	-1.3098391511624	0.190250255443249	0.999958456413115	"Not_significant"
"BGIOSGA000213"	450.654083889574	-0.138307625487587	0.694943212499618	-0.199020039335464	0.842247069025967	0.999958456413115	"Not_significant"
"BGIOSGA000214"	186.720795100304	-0.0670809666285112	0.973145975146198	-0.0689320701536411	0.945043690933133	0.999958456413115	"Not_significant"
"BGIOSGA000215"	2409.90328753511	-0.452612244539714	0.645311317843987	-0.701385876900333	0.483062233373099	0.999958456413115	"Not_significant"
"BGIOSGA000217"	35.2021362138772	1.68886823684136	1.20022511169381	1.40712623022689	0.159389961385625	0.999958456413115	"Not_significant"
"BGIOSGA000218"	359.890964591091	-0.138521424848834	0.507666404059372	-0.27285915266639	0.784961486854322	0.999958456413115	"Not_significant"
"BGIOSGA000219"	62.6442349582002	-0.530987872037642	0.900920353013655	-0.589383812077774	0.555603833232676	0.999958456413115	"Not_significant"
"BGIOSGA000220"	362.049225309346	-0.396812856301661	1.22312659206812	-0.324425009541089	0.745616287918675	0.999958456413115	"Not_significant"
"BGIOSGA000221"	251.689608681838	0.217343232850205	1.09615117142966	0.198278520805422	0.842827155977256	0.999958456413115	"Not_significant"
"BGIOSGA000222"	155.753698842818	-0.23787115499605	0.706568053695101	-0.336657104368175	0.73637540329112	0.999958456413115	"Not_significant"
"BGIOSGA000223"	17.923935618584	0.438057722641123	1.45133800167754	0.301830257414049	0.762781463854024	0.999958456413115	"Not_significant"
"BGIOSGA000224"	282.41041906068	0.411115578802859	0.779793224928192	0.527211016536745	0.598047059229644	0.999958456413115	"Not_significant"
"BGIOSGA000225"	745.952773792088	0.203256017832241	0.561892973901161	0.361734400095906	0.717550517869741	0.999958456413115	"Not_significant"
"BGIOSGA000226"	237.734863699633	-0.177781391716788	0.771580949540142	-0.230411847030107	0.817771756193938	0.999958456413115	"Not_significant"
"BGIOSGA000227"	323.631111913338	0.665032509600375	0.590571344575962	1.12608326785289	0.260130275640996	0.999958456413115	"Not_significant"
"BGIOSGA000228"	2076.32042477256	0.645614472867055	0.596857000082095	1.0816903760503	0.279390130933966	0.999958456413115	"Not_significant"
"BGIOSGA000230"	36.9481242390076	1.2153696202867	1.20284540742399	1.01041215503291	0.312297866761161	0.999958456413115	"Not_significant"
"BGIOSGA000231"	171.890940019354	1.54074059545044	1.12526404837281	1.36922582542153	0.170928695687857	0.999958456413115	"Not_significant"
"BGIOSGA000233"	565.025290497349	-0.395661989054306	0.52447602861218	-0.754394800657086	0.450612192682782	0.999958456413115	"Not_significant"
"BGIOSGA000235"	243.877364652405	0.124773810084514	0.612461140737511	0.203725268078664	0.838568195205244	0.999958456413115	"Not_significant"
"BGIOSGA000236"	210.940396095214	0.484781947333041	0.888367021499898	0.545700071705213	0.585272122645741	0.999958456413115	"Not_significant"
"BGIOSGA000237"	159.969758345197	-0.633338629537597	1.31302371669734	-0.482351248864444	0.629556446756527	0.999958456413115	"Not_significant"
"BGIOSGA000238"	29.5304485979177	-2.2097703792585	1.0913621315771	-2.02478198145396	0.0428897560776497	0.999958456413115	"Down-regulated"
"BGIOSGA000239"	8.26959772248166	-0.927940373246994	1.43171269972711	-0.648133088030763	0.516898874823406	0.999958456413115	"Not_significant"
"BGIOSGA000242"	196.222089175119	-0.759593647864021	0.801455250759233	-0.947768009685437	0.343247569614032	0.999958456413115	"Not_significant"
